,reclaimed,cols,reds,time,gc_time,code_time,gc_percent,heap_size
1,0,0,4,73,0,73,0,12
11,0,1,34,199,24,175,0.1206030151,38
12,0,1,37,209,24,185,0.1148325359,38
25,0,2,76,404,58,346,0.1435643564,51
50,107,4,151,833,165,668,0.1980792317,142
75,355,7,227,1265,260,1005,0.2055335968,233
100,745,10,304,1703,343,1360,0.2014092777,233
125,1080,10,380,2170,441,1729,0.2032258065,376
150,1661,13,460,2684,554,2130,0.2064083458,376
175,2445,18,544,3324,779,2545,0.2343561974,376
200,3513,15,618,3750,769,2981,0.2050666667,610
